S majuscule tracé à la main
544
(390.0, ( -0.6500000000000001, 0.04285714285714293))
(1326.0, ( 0.657142857142857, 0.33571428571428574))
(1326.0, ( 0.657142857142857, 0.34285714285714286))
(1341.0, ( 0.657142857142857, 0.35))
(1341.0, ( 0.657142857142857, 0.3571428571428572))
(1357.0, ( 0.657142857142857, 0.3642857142857143))
(1357.0, ( 0.657142857142857, 0.37142857142857144))
(1373.0, ( 0.6642857142857141, 0.37857142857142856))
(1373.0, ( 0.6642857142857141, 0.3857142857142858))
(1388.0, ( 0.6642857142857141, 0.3928571428571429))
(1388.0, ( 0.6642857142857141, 0.40714285714285714))
(1404.0, ( 0.6642857142857141, 0.41428571428571426))
(1404.0, ( 0.6642857142857141, 0.4214285714285715))
(1419.0, ( 0.6642857142857141, 0.4285714285714286))
(1435.0, ( 0.6642857142857141, 0.4357142857142857))
(1466.0, ( 0.6642857142857141, 0.45000000000000007))
(1482.0, ( 0.6642857142857141, 0.4571428571428572))
(1497.0, ( 0.657142857142857, 0.4642857142857143))
(1497.0, ( 0.657142857142857, 0.4714285714285714))
(1529.0, ( 0.657142857142857, 0.47857142857142854))
(1529.0, ( 0.6499999999999999, 0.47857142857142854))
(1544.0, ( 0.6428571428571428, 0.47857142857142854))
(1560.0, ( 0.6428571428571428, 0.48571428571428577))
(1560.0, ( 0.6357142857142857, 0.4928571428571429))
(1575.0, ( 0.6357142857142857, 0.5))
(1575.0, ( 0.6285714285714286, 0.5))
(1591.0, ( 0.6142857142857143, 0.5142857142857142))
(1607.0, ( 0.6071428571428572, 0.5214285714285715))
(1607.0, ( 0.6000000000000001, 0.5285714285714286))
(1622.0, ( 0.592857142857143, 0.5285714285714286))
(1622.0, ( 0.5857142857142854, 0.5428571428571429))
(1638.0, ( 0.5785714285714283, 0.55))
(1653.0, ( 0.5714285714285712, 0.5642857142857143))
(1669.0, ( 0.5642857142857141, 0.5642857142857143))
(1669.0, ( 0.5571428571428569, 0.5642857142857143))
(1685.0, ( 0.5499999999999998, 0.5785714285714285))
(1700.0, ( 0.5428571428571427, 0.5785714285714285))
(1700.0, ( 0.5357142857142856, 0.5785714285714285))
(1716.0, ( 0.5357142857142856, 0.5857142857142857))
(1716.0, ( 0.5285714285714285, 0.5857142857142857))
(1731.0, ( 0.5214285714285714, 0.5857142857142857))
(1763.0, ( 0.5214285714285714, 0.5928571428571429))
(1763.0, ( 0.5142857142857142, 0.5928571428571429))
(1778.0, ( 0.5071428571428571, 0.5928571428571429))
(1778.0, ( 0.5, 0.5928571428571429))
(1794.0, ( 0.4928571428571429, 0.6000000000000001))
(1809.0, ( 0.48571428571428577, 0.6000000000000001))
(1809.0, ( 0.47857142857142865, 0.6071428571428572))
(1825.0, ( 0.47142857142857153, 0.6142857142857143))
(1843.0, ( 0.45714285714285685, 0.6214285714285714))
(1859.0, ( 0.44999999999999973, 0.6285714285714286))
(1859.0, ( 0.4357142857142855, 0.6357142857142857))
(1874.0, ( 0.4285714285714284, 0.6428571428571428))
(1874.0, ( 0.41428571428571415, 0.65))
(1890.0, ( 0.40714285714285703, 0.65))
(1906.0, ( 0.40714285714285703, 0.6571428571428571))
(1906.0, ( 0.3999999999999999, 0.6571428571428571))
(1921.0, ( 0.3928571428571428, 0.6571428571428571))
(1937.0, ( 0.3928571428571428, 0.6642857142857144))
(1937.0, ( 0.3857142857142857, 0.6642857142857144))
(1952.0, ( 0.37857142857142856, 0.6642857142857144))
(1952.0, ( 0.37142857142857144, 0.6642857142857144))
(1968.0, ( 0.3642857142857143, 0.6642857142857144))
(1968.0, ( 0.3571428571428572, 0.6642857142857144))
(1984.0, ( 0.3500000000000001, 0.6642857142857144))
(2015.0, ( 0.34285714285714297, 0.6642857142857144))
(2030.0, ( 0.3357142857142854, 0.6642857142857144))
(2046.0, ( 0.3285714285714283, 0.6642857142857144))
(2077.0, ( 0.3214285714285712, 0.6642857142857144))
(2108.0, ( 0.30714285714285694, 0.6642857142857144))
(2124.0, ( 0.2999999999999998, 0.6642857142857144))
(2140.0, ( 0.2928571428571427, 0.6642857142857144))
(2155.0, ( 0.2857142857142856, 0.6571428571428571))
(2155.0, ( 0.27857142857142847, 0.6571428571428571))
(2171.0, ( 0.27142857142857135, 0.65))
(2186.0, ( 0.26428571428571423, 0.65))
(2202.0, ( 0.2571428571428571, 0.6428571428571428))
(2202.0, ( 0.25, 0.6428571428571428))
(2218.0, ( 0.25, 0.6357142857142857))
(2218.0, ( 0.24285714285714288, 0.6285714285714286))
(2233.0, ( 0.22857142857142865, 0.6214285714285714))
(2249.0, ( 0.22142857142857153, 0.6142857142857143))
(2249.0, ( 0.20714285714285685, 0.6071428571428572))
(2264.0, ( 0.20714285714285685, 0.6000000000000001))
(2264.0, ( 0.19285714285714262, 0.5928571428571429))
(2280.0, ( 0.1857142857142855, 0.5785714285714285))
(2280.0, ( 0.17142857142857126, 0.5714285714285714))
(2296.0, ( 0.16428571428571415, 0.5571428571428572))
(2296.0, ( 0.15714285714285703, 0.55))
(2311.0, ( 0.1499999999999999, 0.5357142857142858))
(2311.0, ( 0.13571428571428568, 0.5285714285714286))
(2327.0, ( 0.12857142857142856, 0.5214285714285715))
(2327.0, ( 0.12857142857142856, 0.5071428571428571))
(2342.0, ( 0.11428571428571432, 0.5))
(2342.0, ( 0.11428571428571432, 0.4928571428571429))
(2358.0, ( 0.1071428571428572, 0.47857142857142854))
(2358.0, ( 0.10000000000000009, 0.47857142857142854))
(2374.0, ( 0.10000000000000009, 0.4642857142857143))
(2374.0, ( 0.09285714285714297, 0.4642857142857143))
(2389.0, ( 0.09285714285714297, 0.45000000000000007))
(2405.0, ( 0.09285714285714297, 0.44285714285714284))
(2405.0, ( 0.09285714285714297, 0.4357142857142857))
(2420.0, ( 0.09285714285714297, 0.4285714285714286))
(2420.0, ( 0.09285714285714297, 0.4214285714285715))
(2436.0, ( 0.08571428571428585, 0.41428571428571426))
(2436.0, ( 0.08571428571428585, 0.40714285714285714))
(2452.0, ( 0.08571428571428585, 0.3928571428571429))
(2452.0, ( 0.08571428571428585, 0.3857142857142858))
(2467.0, ( 0.08571428571428585, 0.37142857142857144))
(2483.0, ( 0.08571428571428585, 0.3571428571428572))
(2483.0, ( 0.08571428571428585, 0.35))
(2514.0, ( 0.08571428571428585, 0.34285714285714286))
(2514.0, ( 0.08571428571428585, 0.33571428571428574))
(2530.0, ( 0.09285714285714297, 0.3285714285714286))
(2545.0, ( 0.09285714285714297, 0.3214285714285714))
(2545.0, ( 0.10000000000000009, 0.3214285714285714))
(2561.0, ( 0.10000000000000009, 0.3142857142857143))
(2561.0, ( 0.1071428571428572, 0.30714285714285716))
(2576.0, ( 0.11428571428571432, 0.30000000000000004))
(2592.0, ( 0.12142857142857144, 0.30000000000000004))
(2592.0, ( 0.13571428571428568, 0.2857142857142857))
(2623.0, ( 0.1499999999999999, 0.2785714285714286))
